wkt_geom;InputID;TargetID;Distance;MST
LineString (3470109.42191518936306238 5436662.94686345662921667, 3470757.58480571396648884 5437620.50360719952732325);39;6;1156.421578;1
LineString (3448432.34829761600121856 5423337.44196032825857401, 3449706.50982074066996574 5423390.22540468163788319);3;27;1275.368917;1
LineString (3462178.43183876946568489 5426407.10723903961479664, 3462656.77635816438123584 5425198.84765840321779251);8;30;1299.627608;1
LineString (3457792.80140150897204876 5424119.22082886192947626, 3459069.47409876342862844 5424510.26605264004319906);32;26;1335.352044;1
LineString (3470757.58480571396648884 5437620.50360719952732325, 3471558.65334488870576024 5436536.49105874821543694);40;6;1348.027827;1
LineString (3451084.57525472668930888 5429673.20979042630642653, 3451406.10398236708715558 5428258.24060113355517387);7;28;1451.162805;0
LineString (3470109.42191518936306238 5436662.94686345662921667, 3471558.65334488870576024 5436536.49105874821543694);39;40;1454.89987;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3454597.78858819091692567 5425732.95110378973186016);1;17;1467.20926;1
LineString (3469242.10503632668405771 5437211.66114674508571625, 3470757.58480571396648884 5437620.50360719952732325);6;35;1569.832324;0
LineString (3462159.84320575930178165 5426688.41854207124561071, 3462656.77635816438123584 5425198.84765840321779251);47;30;1570.426755;0
LineString (3451084.57525472668930888 5429673.20979042630642653, 3452022.87577706621959805 5430948.10442888643592596);43;7;1583.098594;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3469195.91268025850877166 5424600.50072824023663998);36;34;1678.866033;1
LineString (3449741.57612347323447466 5428499.80919848289340734, 3451406.10398236708715558 5428258.24060113355517387);25;28;1682.119631;0
LineString (3462384.64057742105796933 5426872.13059444166719913, 3462656.77635816438123584 5425198.84765840321779251);30;23;1695.43077;0
LineString (3454905.93222851492464542 5432975.09213650040328503, 3456284.30115146934986115 5431976.09285443928092718);0;46;1702.483089;1
LineString (3457268.98848493350669742 5428081.87244538124650717, 3458048.36599232768639922 5426546.6815110445022583);13;10;1721.856815;1
LineString (3454597.78858819091692567 5425732.95110378973186016, 3455663.71174610918387771 5424355.57401029951870441);17;29;1741.813889;1
LineString (3449741.57612347323447466 5428499.80919848289340734, 3451084.57525472668930888 5429673.20979042630642653);7;25;1783.556381;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3454597.78858819091692567 5425732.95110378973186016);20;17;1798.456854;1
LineString (3453404.55361524969339371 5422713.04253131803125143, 3453848.75896579492837191 5424471.4946203175932169);37;1;1813.848125;1
LineString (3453848.75896579492837191 5424471.4946203175932169, 3455663.71174610918387771 5424355.57401029951870441);29;1;1818.826511;0
LineString (3451084.57525472668930888 5429673.20979042630642653, 3451933.77845957269892097 5431382.375694889575243);45;7;1908.669515;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3454910.15424565970897675 5429127.42035745643079281);12;20;1934.928006;1
LineString (3451637.01836292631924152 5421813.62729568686336279, 3453404.55361524969339371 5422713.04253131803125143);37;15;1983.394491;1
LineString (3450492.70694015640765429 5428681.37302775215357542, 3451798.97748474264517426 5430317.69400124438107014);18;4;2093.956083;0
LineString (3451406.10398236708715558 5428258.24060113355517387, 3451798.97748474264517426 5430317.69400124438107014);4;28;2096.769204;0
LineString (3455663.71174610918387771 5424355.57401029951870441, 3457792.80140150897204876 5424119.22082886192947626);29;26;2142.379705;1
LineString (3468935.69408008782193065 5427807.71101057343184948, 3470996.66585338255390525 5428416.35889498051255941);22;9;2149.202687;1
LineString (3469195.91268025850877166 5424600.50072824023663998, 3471345.1894326894544065 5424502.88789097126573324);2;34;2151.730721;1
LineString (3467158.64961910201236606 5423881.07062907610088587, 3469195.91268025850877166 5424600.50072824023663998);21;34;2160.794164;0
LineString (3458048.36599232768639922 5426546.6815110445022583, 3459069.47409876342862844 5424510.26605264004319906);32;13;2278.293756;1
LineString (3468723.84347889805212617 5428870.43565299920737743, 3470996.66585338255390525 5428416.35889498051255941);11;22;2317.993059;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3449741.57612347323447466 5428499.80919848289340734);25;19;2355.038196;1
LineString (3469242.10503632668405771 5437211.66114674508571625, 3471558.65334488870576024 5436536.49105874821543694);35;40;2413.200243;0
LineString (3457792.80140150897204876 5424119.22082886192947626, 3458048.36599232768639922 5426546.6815110445022583);13;26;2441.099561;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3451637.01836292631924152 5421813.62729568686336279);3;15;2492.714063;1
LineString (3454694.72752937115728855 5433902.57885454595088959, 3456284.30115146934986115 5431976.09285443928092718);16;0;2497.847905;0
LineString (3471259.77054715529084206 5421970.82867374643683434, 3471345.1894326894544065 5424502.88789097126573324);41;2;2533.760281;1
LineString (3454910.15424565970897675 5429127.42035745643079281, 3457268.98848493350669742 5428081.87244538124650717);10;12;2580.417885;0
LineString (3462656.77635816438123584 5425198.84765840321779251, 3465232.31786350952461362 5425724.29433836974203587);42;30;2628.871348;1
LineString (3453601.01639671809971333 5436313.93858938571065664, 3454694.72752937115728855 5433902.57885454595088959);16;31;2648.037858;1
LineString (3465232.31786350952461362 5425724.29433836974203587, 3467158.64961910201236606 5423881.07062907610088587);42;21;2666.402097;1
LineString (3451406.10398236708715558 5428258.24060113355517387, 3453990.06361989071592689 5427425.44798240438103676);28;20;2715.100128;1
LineString (3450492.70694015640765429 5428681.37302775215357542, 3452022.87577706621959805 5430948.10442888643592596);43;18;2735.101806;0
LineString (3465232.31786350952461362 5425724.29433836974203587, 3467552.71176850516349077 5424257.1826713215559721);42;36;2745.58434;0
LineString (3449741.57612347323447466 5428499.80919848289340734, 3451798.97748474264517426 5430317.69400124438107014);25;4;2745.711778;0
LineString (3451406.10398236708715558 5428258.24060113355517387, 3452022.87577706621959805 5430948.10442888643592596);28;43;2759.903336;0
LineString (3453404.55361524969339371 5422713.04253131803125143, 3455663.71174610918387771 5424355.57401029951870441);29;37;2793.413693;0
LineString (3453601.01639671809971333 5436313.93858938571065664, 3456391.66935586743056774 5436679.22981312964111567);31;48;2814.731517;1
LineString (3455663.71174610918387771 5424355.57401029951870441, 3456362.14373768400400877 5421591.03055325616151094);29;44;2851.660544;1
LineString (3466659.65724263805896044 5435999.49862106051295996, 3469242.10503632668405771 5437211.66114674508571625);5;35;2853.090368;1
LineString (3456362.14373768400400877 5421591.03055325616151094, 3457792.80140150897204876 5424119.22082886192947626);26;44;2905.182837;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3453990.06361989071592689 5427425.44798240438103676);1;20;2957.588256;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3450492.70694015640765429 5428681.37302775215357542);19;18;2970.420368;0
LineString (3471259.77054715529084206 5421970.82867374643683434, 3472171.90485716983675957 5424803.07942000404000282);33;41;2975.814903;0
LineString (3469195.91268025850877166 5424600.50072824023663998, 3472171.90485716983675957 5424803.07942000404000282);34;33;2983.210504;0
LineString (3456586.13837308529764414 5421315.44365351181477308, 3457792.80140150897204876 5424119.22082886192947626);26;24;3052.689432;0
LineString (3450492.70694015640765429 5428681.37302775215357542, 3451933.77845957269892097 5431382.375694889575243);18;45;3061.651217;0
LineString (3462384.64057742105796933 5426872.13059444166719913, 3465232.31786350952461362 5425724.29433836974203587);42;23;3070.629146;0
LineString (3462178.43183876946568489 5426407.10723903961479664, 3465232.31786350952461362 5425724.29433836974203587);42;8;3129.618612;0
LineString (3454910.15424565970897675 5429127.42035745643079281, 3456284.30115146934986115 5431976.09285443928092718);0;12;3163.071829;1
LineString (3453404.55361524969339371 5422713.04253131803125143, 3456362.14373768400400877 5421591.03055325616151094);37;44;3163.568336;0
LineString (3451406.10398236708715558 5428258.24060113355517387, 3451933.77845957269892097 5431382.375694889575243);45;28;3168.652418;0
LineString (3455663.71174610918387771 5424355.57401029951870441, 3456586.13837308529764414 5421315.44365351181477308);24;29;3177.276009;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3448432.34829761600121856 5423337.44196032825857401);27;19;3206.278363;0
LineString (3468935.69408008782193065 5427807.71101057343184948, 3469195.91268025850877166 5424600.50072824023663998);34;9;3218.075483;1
LineString (3462159.84320575930178165 5426688.41854207124561071, 3465232.31786350952461362 5425724.29433836974203587);47;42;3220.529326;0
LineString (3455663.71174610918387771 5424355.57401029951870441, 3458048.36599232768639922 5426546.6815110445022583);13;29;3238.752294;0
LineString (3453404.55361524969339371 5422713.04253131803125143, 3454597.78858819091692567 5425732.95110378973186016);37;17;3247.386056;0
LineString (3454694.72752937115728855 5433902.57885454595088959, 3456391.66935586743056774 5436679.22981312964111567);16;48;3254.432527;0
LineString (3451798.97748474264517426 5430317.69400124438107014, 3454910.15424565970897675 5429127.42035745643079281);12;4;3331.404638;0
LineString (3469195.91268025850877166 5424600.50072824023663998, 3471259.77054715529084206 5421970.82867374643683434);34;41;3343.208322;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3457268.98848493350669742 5428081.87244538124650717);20;10;3344.310787;0
LineString (3449741.57612347323447466 5428499.80919848289340734, 3452022.87577706621959805 5430948.10442888643592596);43;25;3346.704985;0
LineString (3451933.77845957269892097 5431382.375694889575243, 3454905.93222851492464542 5432975.09213650040328503);46;45;3372.322697;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3449706.50982074066996574 5423390.22540468163788319);3;19;3401.778823;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3454910.15424565970897675 5429127.42035745643079281);17;12;3409.110948;0
LineString (3455663.71174610918387771 5424355.57401029951870441, 3459069.47409876342862844 5424510.26605264004319906);32;29;3409.612397;0
LineString (3452022.87577706621959805 5430948.10442888643592596, 3454910.15424565970897675 5429127.42035745643079281);12;43;3413.711769;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3451406.10398236708715558 5428258.24060113355517387);19;28;3434.333395;0
LineString (3451637.01836292631924152 5421813.62729568686336279, 3453848.75896579492837191 5424471.4946203175932169);15;1;3458.060852;0
LineString (3453404.55361524969339371 5422713.04253131803125143, 3456586.13837308529764414 5421315.44365351181477308);37;24;3475.351786;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3455663.71174610918387771 5424355.57401029951870441);29;20;3496.773494;0
LineString (3464611.47653896687552333 5433151.62009744439274073, 3466659.65724263805896044 5435999.49862106051295996);49;5;3508.269268;1
LineString (3466659.65724263805896044 5435999.49862106051295996, 3470109.42191518936306238 5436662.94686345662921667);5;39;3513.364971;0
LineString (3452022.87577706621959805 5430948.10442888643592596, 3454905.93222851492464542 5432975.09213650040328503);43;46;3524.625324;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3458048.36599232768639922 5426546.6815110445022583);17;13;3545.574693;0
LineString (3448432.34829761600121856 5423337.44196032825857401, 3451637.01836292631924152 5421813.62729568686336279);27;15;3548.827311;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3457268.98848493350669742 5428081.87244538124650717);10;17;3557.403432;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3457792.80140150897204876 5424119.22082886192947626);17;26;3579.763018;0
LineString (3453601.01639671809971333 5436313.93858938571065664, 3454905.93222851492464542 5432975.09213650040328503);46;31;3585.10485;0
LineString (3451406.10398236708715558 5428258.24060113355517387, 3454910.15424565970897675 5429127.42035745643079281);28;12;3610.581402;0
LineString (3449741.57612347323447466 5428499.80919848289340734, 3451933.77845957269892097 5431382.375694889575243);45;25;3621.768684;0
LineString (3451798.97748474264517426 5430317.69400124438107014, 3453990.06361989071592689 5427425.44798240438103676);20;4;3628.813771;0
LineString (3459069.47409876342862844 5424510.26605264004319906, 3462178.43183876946568489 5426407.10723903961479664);32;8;3642.291067;1
LineString (3459069.47409876342862844 5424510.26605264004319906, 3462656.77635816438123584 5425198.84765840321779251);30;32;3653.165647;0
LineString (3451084.57525472668930888 5429673.20979042630642653, 3453990.06361989071592689 5427425.44798240438103676);20;7;3673.792065;0
LineString (3450492.70694015640765429 5428681.37302775215357542, 3453990.06361989071592689 5427425.44798240438103676);18;20;3716.370968;0
LineString (3451933.77845957269892097 5431382.375694889575243, 3454910.15424565970897675 5429127.42035745643079281);45;12;3734.461319;0
LineString (3451933.77845957269892097 5431382.375694889575243, 3454694.72752937115728855 5433902.57885454595088959);45;16;3738.556575;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3453404.55361524969339371 5422713.04253131803125143);37;3;3759.883367;0
LineString (3449908.01308531407266855 5435545.69743746984750032, 3453601.01639671809971333 5436313.93858938571065664);38;31;3772.413988;1
LineString (3459069.47409876342862844 5424510.26605264004319906, 3462159.84320575930178165 5426688.41854207124561071);32;47;3781.214129;0
LineString (3470996.66585338255390525 5428416.35889498051255941, 3472171.90485716983675957 5424803.07942000404000282);22;33;3799.996977;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3471345.1894326894544065 5424502.88789097126573324);2;36;3800.847455;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3468935.69408008782193065 5427807.71101057343184948);9;36;3810.753986;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3456362.14373768400400877 5421591.03055325616151094);1;44;3823.201217;0
LineString (3454905.93222851492464542 5432975.09213650040328503, 3454910.15424565970897675 5429127.42035745643079281);46;12;3848.012924;0
LineString (3451084.57525472668930888 5429673.20979042630642653, 3454910.15424565970897675 5429127.42035745643079281);12;7;3864.681221;0
LineString (3470996.66585338255390525 5428416.35889498051255941, 3471345.1894326894544065 5424502.88789097126573324);22;2;3929.363876;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3457792.80140150897204876 5424119.22082886192947626);1;26;3960.130137;0
LineString (3456362.14373768400400877 5421591.03055325616151094, 3459069.47409876342862844 5424510.26605264004319906);32;44;3981.781684;0
LineString (3452022.87577706621959805 5430948.10442888643592596, 3454694.72752937115728855 5433902.57885454595088959);16;43;3983.788656;0
LineString (3454905.93222851492464542 5432975.09213650040328503, 3456391.66935586743056774 5436679.22981312964111567);48;46;3991.355581;0
LineString (3457268.98848493350669742 5428081.87244538124650717, 3457792.80140150897204876 5424119.22082886192947626);26;10;3997.486277;0
LineString (3457268.98848493350669742 5428081.87244538124650717, 3459069.47409876342862844 5424510.26605264004319906);32;10;4000.138393;0
LineString (3456284.30115146934986115 5431976.09285443928092718, 3457268.98848493350669742 5428081.87244538124650717);10;0;4017.149068;0
LineString (3452022.87577706621959805 5430948.10442888643592596, 3453990.06361989071592689 5427425.44798240438103676);20;43;4035.071572;0
LineString (3456586.13837308529764414 5421315.44365351181477308, 3459069.47409876342862844 5424510.26605264004319906);32;24;4046.842833;0
LineString (3464719.30048469034954906 5432442.04108787141740322, 3466659.65724263805896044 5435999.49862106051295996);5;14;4052.627573;0
LineString (3455663.71174610918387771 5424355.57401029951870441, 3457268.98848493350669742 5428081.87244538124650717);29;10;4057.734737;0
LineString (3454910.15424565970897675 5429127.42035745643079281, 3458048.36599232768639922 5426546.6815110445022583);12;13;4063.461942;0
LineString (3451406.10398236708715558 5428258.24060113355517387, 3454597.78858819091692567 5425732.95110378973186016);17;28;4070.253367;0
LineString (3459069.47409876342862844 5424510.26605264004319906, 3462384.64057742105796933 5426872.13059444166719913);23;32;4070.876979;0
LineString (3451798.97748474264517426 5430317.69400124438107014, 3454905.93222851492464542 5432975.09213650040328503);46;4;4088.763045;0
LineString (3468935.69408008782193065 5427807.71101057343184948, 3471345.1894326894544065 5424502.88789097126573324);9;2;4090.359497;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3451084.57525472668930888 5429673.20979042630642653);19;7;4103.707731;0
LineString (3458048.36599232768639922 5426546.6815110445022583, 3462159.84320575930178165 5426688.41854207124561071);47;13;4114.339781;0
LineString (3465232.31786350952461362 5425724.29433836974203587, 3469195.91268025850877166 5424600.50072824023663998);42;34;4120.274061;0
LineString (3458048.36599232768639922 5426546.6815110445022583, 3462178.43183876946568489 5426407.10723903961479664);13;8;4132.845778;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3458048.36599232768639922 5426546.6815110445022583);13;20;4152.759812;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3456586.13837308529764414 5421315.44365351181477308);1;24;4178.172007;0
LineString (3469195.91268025850877166 5424600.50072824023663998, 3470996.66585338255390525 5428416.35889498051255941);34;22;4219.854716;0
LineString (3467158.64961910201236606 5423881.07062907610088587, 3471345.1894326894544065 5424502.88789097126573324);2;21;4232.93156;0
LineString (3465232.31786350952461362 5425724.29433836974203587, 3468935.69408008782193065 5427807.71101057343184948);9;42;4249.642105;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3453848.75896579492837191 5424471.4946203175932169);1;3;4281.444094;0
LineString (3468723.84347889805212617 5428870.43565299920737743, 3469195.91268025850877166 5424600.50072824023663998);11;34;4296.386002;0
LineString (3467158.64961910201236606 5423881.07062907610088587, 3468935.69408008782193065 5427807.71101057343184948);9;21;4310.473079;0
LineString (3458048.36599232768639922 5426546.6815110445022583, 3462384.64057742105796933 5426872.13059444166719913);13;23;4348.914796;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3471259.77054715529084206 5421970.82867374643683434);36;41;4355.891567;0
LineString (3449741.57612347323447466 5428499.80919848289340734, 3453990.06361989071592689 5427425.44798240438103676);25;20;4382.631743;0
LineString (3452022.87577706621959805 5430948.10442888643592596, 3456284.30115146934986115 5431976.09285443928092718);0;43;4384.081723;0
LineString (3451933.77845957269892097 5431382.375694889575243, 3456284.30115146934986115 5431976.09285443928092718);45;0;4391.268244;0
LineString (3466659.65724263805896044 5435999.49862106051295996, 3470757.58480571396648884 5437620.50360719952732325);6;5;4407.366744;0
LineString (3468935.69408008782193065 5427807.71101057343184948, 3472171.90485716983675957 5424803.07942000404000282);9;33;4416.451926;0
LineString (3450492.70694015640765429 5428681.37302775215357542, 3454910.15424565970897675 5429127.42035745643079281);18;12;4440.327702;0
LineString (3451933.77845957269892097 5431382.375694889575243, 3453990.06361989071592689 5427425.44798240438103676);45;20;4459.717022;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3456362.14373768400400877 5421591.03055325616151094);44;17;4502.455453;0
LineString (3451406.10398236708715558 5428258.24060113355517387, 3453848.75896579492837191 5424471.4946203175932169);1;28;4506.615727;0
LineString (3467158.64961910201236606 5423881.07062907610088587, 3471259.77054715529084206 5421970.82867374643683434);21;41;4524.672437;0
LineString (3453404.55361524969339371 5422713.04253131803125143, 3457792.80140150897204876 5424119.22082886192947626);26;37;4608.487822;0
LineString (3451798.97748474264517426 5430317.69400124438107014, 3454694.72752937115728855 5433902.57885454595088959);16;4;4608.749412;0
LineString (3449908.01308531407266855 5435545.69743746984750032, 3451933.77845957269892097 5431382.375694889575243);45;38;4630.402296;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3459069.47409876342862844 5424510.26605264004319906);17;32;4636.286543;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3472171.90485716983675957 5424803.07942000404000282);33;36;4651.851877;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3458048.36599232768639922 5426546.6815110445022583);13;1;4684.796439;0
LineString (3462656.77635816438123584 5425198.84765840321779251, 3467158.64961910201236606 5423881.07062907610088587);21;30;4691.274931;0
LineString (3465232.31786350952461362 5425724.29433836974203587, 3468723.84347889805212617 5428870.43565299920737743);11;42;4700.379477;0
LineString (3456284.30115146934986115 5431976.09285443928092718, 3456391.66935586743056774 5436679.22981312964111567);48;0;4704.784039;0
LineString (3451637.01836292631924152 5421813.62729568686336279, 3456362.14373768400400877 5421591.03055325616151094);15;44;4730.818292;0
LineString (3453404.55361524969339371 5422713.04253131803125143, 3453990.06361989071592689 5427425.44798240438103676);37;20;4749.052674;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3468723.84347889805212617 5428870.43565299920737743);11;36;4760.066278;0
LineString (3451637.01836292631924152 5421813.62729568686336279, 3455663.71174610918387771 5424355.57401029951870441);29;15;4762.348149;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3454910.15424565970897675 5429127.42035745643079281);1;12;4775.794306;0
LineString (3454694.72752937115728855 5433902.57885454595088959, 3454910.15424565970897675 5429127.42035745643079281);12;16;4780.435908;0
LineString (3451798.97748474264517426 5430317.69400124438107014, 3456284.30115146934986115 5431976.09285443928092718);0;4;4782.545922;0
LineString (3458048.36599232768639922 5426546.6815110445022583, 3462656.77635816438123584 5425198.84765840321779251);13;30;4801.957262;0
LineString (3454910.15424565970897675 5429127.42035745643079281, 3455663.71174610918387771 5424355.57401029951870441);12;29;4831.40833;0
LineString (3454597.78858819091692567 5425732.95110378973186016, 3456586.13837308529764414 5421315.44365351181477308);17;24;4844.805996;0
LineString (3451637.01836292631924152 5421813.62729568686336279, 3454597.78858819091692567 5425732.95110378973186016);17;15;4912.388288;0
LineString (3466659.65724263805896044 5435999.49862106051295996, 3471558.65334488870576024 5436536.49105874821543694);5;40;4928.880373;0
LineString (3457792.80140150897204876 5424119.22082886192947626, 3462178.43183876946568489 5426407.10723903961479664);26;8;4947.027223;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3457268.98848493350669742 5428081.87244538124650717);10;1;4973.669496;0
LineString (3451637.01836292631924152 5421813.62729568686336279, 3456586.13837308529764414 5421315.44365351181477308);24;15;4974.60695;0
LineString (3457792.80140150897204876 5424119.22082886192947626, 3462656.77635816438123584 5425198.84765840321779251);30;26;4982.860859;0
LineString (3462656.77635816438123584 5425198.84765840321779251, 3467552.71176850516349077 5424257.1826713215559721);30;36;4986.201846;0
LineString (3448432.34829761600121856 5423337.44196032825857401, 3453404.55361524969339371 5422713.04253131803125143);27;37;5011.718336;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3457792.80140150897204876 5424119.22082886192947626);26;20;5039.517148;0
LineString (3451084.57525472668930888 5429673.20979042630642653, 3454905.93222851492464542 5432975.09213650040328503);7;46;5050.725446;0
LineString (3450492.70694015640765429 5428681.37302775215357542, 3454597.78858819091692567 5425732.95110378973186016);18;17;5054.655721;0
LineString (3448430.85773900244385004 5426543.46239918936043978, 3451798.97748474264517426 5430317.69400124438107014);4;19;5058.998703;0
LineString (3449908.01308531407266855 5435545.69743746984750032, 3452022.87577706621959805 5430948.10442888643592596);43;38;5061.112916;0
LineString (3449908.01308531407266855 5435545.69743746984750032, 3454694.72752937115728855 5433902.57885454595088959);38;16;5061.346937;0
LineString (3457792.80140150897204876 5424119.22082886192947626, 3462159.84320575930178165 5426688.41854207124561071);26;47;5067.243026;0
LineString (3457268.98848493350669742 5428081.87244538124650717, 3462159.84320575930178165 5426688.41854207124561071);10;47;5086.000955;0
LineString (3468723.84347889805212617 5428870.43565299920737743, 3471345.1894326894544065 5424502.88789097126573324);2;11;5094.344147;0
LineString (3453990.06361989071592689 5427425.44798240438103676, 3456284.30115146934986115 5431976.09285443928092718);20;0;5096.721516;0
LineString (3467158.64961910201236606 5423881.07062907610088587, 3472171.90485716983675957 5424803.07942000404000282);21;33;5097.896586;0
LineString (3453601.01639671809971333 5436313.93858938571065664, 3456284.30115146934986115 5431976.09285443928092718);31;0;5101.140636;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3449741.57612347323447466 5428499.80919848289340734);25;3;5110.122925;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3451406.10398236708715558 5428258.24060113355517387);3;28;5156.612496;0
LineString (3457268.98848493350669742 5428081.87244538124650717, 3462178.43183876946568489 5426407.10723903961479664);8;10;5187.764753;0
LineString (3451933.77845957269892097 5431382.375694889575243, 3453601.01639671809971333 5436313.93858938571065664);31;45;5206.215791;0
LineString (3449741.57612347323447466 5428499.80919848289340734, 3454910.15424565970897675 5429127.42035745643079281);12;25;5207.031072;0
LineString (3453848.75896579492837191 5424471.4946203175932169, 3459069.47409876342862844 5424510.26605264004319906);32;1;5221.372862;0
LineString (3467158.64961910201236606 5423881.07062907610088587, 3468723.84347889805212617 5428870.43565299920737743);11;21;5229.639228;0
LineString (3456362.14373768400400877 5421591.03055325616151094, 3458048.36599232768639922 5426546.6815110445022583);44;13;5235.15324;0
LineString (3457268.98848493350669742 5428081.87244538124650717, 3462384.64057742105796933 5426872.13059444166719913);23;10;5257.278613;0
LineString (3451084.57525472668930888 5429673.20979042630642653, 3454597.78858819091692567 5425732.95110378973186016);17;7;5279.51719;0
LineString (3448432.34829761600121856 5423337.44196032825857401, 3449741.57612347323447466 5428499.80919848289340734);27;25;5326.23183;0
LineString (3468723.84347889805212617 5428870.43565299920737743, 3472171.90485716983675957 5424803.07942000404000282);11;33;5332.779763;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3450492.70694015640765429 5428681.37302775215357542);3;18;5349.679975;0
LineString (3457792.80140150897204876 5424119.22082886192947626, 3462384.64057742105796933 5426872.13059444166719913);26;23;5354.364518;0
LineString (3464719.30048469034954906 5432442.04108787141740322, 3468723.84347889805212617 5428870.43565299920737743);14;11;5366.44548;1
LineString (3451798.97748474264517426 5430317.69400124438107014, 3454597.78858819091692567 5425732.95110378973186016);4;17;5371.994082;0
LineString (3450492.70694015640765429 5428681.37302775215357542, 3453848.75896579492837191 5424471.4946203175932169);18;1;5384.355498;0
LineString (3467552.71176850516349077 5424257.1826713215559721, 3470996.66585338255390525 5428416.35889498051255941);36;22;5400.526337;0
LineString (3449706.50982074066996574 5423390.22540468163788319, 3454597.78858819091692567 5425732.95110378973186016);17;3;5423.871081;0
LineString (3456586.13837308529764414 5421315.44365351181477308, 3458048.36599232768639922 5426546.6815110445022583);13;24;5432.250182;0
LineString (3454905.93222851492464542 5432975.09213650040328503, 3457268.98848493350669742 5428081.87244538124650717);10;46;5434.428258;0
LineString (3448432.34829761600121856 5423337.44196032825857401, 3453848.75896579492837191 5424471.4946203175932169);1;27;5534.366555;0
LineString (3449908.01308531407266855 5435545.69743746984750032, 3451798.97748474264517426 5430317.69400124438107014);38;4;5559.944731;0
