wkt_geom;InputID;TargetID;Distance;MST
LineString (7.48268248577064377 51.51619135116313686,9.72426193732693989 52.36123164278924946);Hannover;Dortmund;180556.5414;0
LineString (6.77311776729239146 51.23433285753594646,8.67604133048406823 50.11534901549023147);Düsseldorf;Frankfurt;183259.9133;0
LineString (8.67604133048406823 50.11534901549023147,11.06275901991091715 49.46990855344201776);Frankfurt;Nuernberg;186233.247;0
LineString (6.77311776729239146 51.23433285753594646,9.48236487420935248 51.26461501244319408);Düsseldorf;Kassel;189180.4319;0
LineString (11.03856931359915805 50.98628168060842825,13.73975318507886989 51.052220951201015);Erfurt;Dresden;189669.6005;0
LineString (9.14370898584473579 48.77867032309986683,11.5707428524578475 48.15314625478950461);Stuttgart;München;192477.6641;0
LineString (8.67604133048406823 50.11534901549023147,11.03856931359915805 50.98628168060842825);Frankfurt;Erfurt;193434.9015;0
LineString (7.48268248577064377 51.51619135116313686,8.80505309748011378 53.06946534523741832);Dortmund;Bremen;194961.203;0
LineString (8.5309030926135172 52.03008636485920846,10.01453841306804371 53.5560114526945128);Hamburg;Bielefeld;197097.607;0
LineString (9.48236487420935248 51.26461501244319408,12.38512963162038716 51.34023317736082248);Leipzig;Kassel;202601.3051;0
LineString (8.80505309748011378 53.06946534523741832,9.48236487420935248 51.26461501244319408);Bremen;Kassel;206101.7435;0
LineString (8.5309030926135172 52.03008636485920846,11.03856931359915805 50.98628168060842825);Bielefeld;Erfurt;209261.6158;0
LineString (8.5309030926135172 52.03008636485920846,8.67604133048406823 50.11534901549023147);Frankfurt;Bielefeld;213256.4821;0
LineString (9.72426193732693989 52.36123164278924946,12.38512963162038716 51.34023317736082248);Hannover;Leipzig;215669.9633;0
LineString (11.06275901991091715 49.46990855344201776,12.38512963162038716 51.34023317736082248);Nuernberg;Leipzig;228292.9863;0
LineString (9.48236487420935248 51.26461501244319408,11.06275901991091715 49.46990855344201776);Kassel;Nuernberg;229110.843;0
LineString (11.03856931359915805 50.98628168060842825,13.41722376758875335 52.51852092247163029);Erfurt;Berlin;236714.2964;0
LineString (6.77311776729239146 51.23433285753594646,9.72426193732693989 52.36123164278924946);Hannover;Düsseldorf;239074.2827;0
LineString (6.77311776729239146 51.23433285753594646,8.80505309748011378 53.06946534523741832);Bremen;Düsseldorf;247036.3333;0
LineString (9.72426193732693989 52.36123164278924946,13.41722376758875335 52.51852092247163029);Hannover;Berlin;251713.3138;0
LineString (7.48268248577064377 51.51619135116313686,11.03856931359915805 50.98628168060842825);Erfurt;Dortmund;255139.844;0
LineString (10.01453841306804371 53.5560114526945128,13.41722376758875335 52.51852092247163029);Hamburg;Berlin;255754.1336;0
LineString (9.48236487420935248 51.26461501244319408,10.01453841306804371 53.5560114526945128);Hamburg;Kassel;257532.1118;0
LineString (11.06275901991091715 49.46990855344201776,13.73975318507886989 51.052220951201015);Dresden;Nuernberg;259615.7319;0
LineString (8.67604133048406823 50.11534901549023147,9.72426193732693989 52.36123164278924946);Hannover;Frankfurt;260356.2981;0
LineString (8.5309030926135172 52.03008636485920846,12.38512963162038716 51.34023317736082248);Leipzig;Bielefeld;277345.4337;0
LineString (9.14370898584473579 48.77867032309986683,9.48236487420935248 51.26461501244319408);Stuttgart;Kassel;277572.3985;0
LineString (8.80505309748011378 53.06946534523741832,11.03856931359915805 50.98628168060842825);Erfurt;Bremen;277867.5189;0
LineString (9.14370898584473579 48.77867032309986683,11.03856931359915805 50.98628168060842825);Erfurt;Stuttgart;280759.2553;0
LineString (7.48268248577064377 51.51619135116313686,10.01453841306804371 53.5560114526945128);Hamburg;Dortmund;284631.5855;0
LineString (10.01453841306804371 53.5560114526945128,11.03856931359915805 50.98628168060842825);Erfurt;Hamburg;294352.0613;0
LineString (10.01453841306804371 53.5560114526945128,12.38512963162038716 51.34023317736082248);Hamburg;Leipzig;294531.8625;0
LineString (8.67604133048406823 50.11534901549023147,12.38512963162038716 51.34023317736082248);Leipzig;Frankfurt;295168.3621;0
LineString (9.48236487420935248 51.26461501244319408,13.73975318507886989 51.052220951201015);Kassel;Dresden;298733.3517;0
LineString (6.77311776729239146 51.23433285753594646,11.03856931359915805 50.98628168060842825);Erfurt;Düsseldorf;299943.2996;0
LineString (8.67604133048406823 50.11534901549023147,11.5707428524578475 48.15314625478950461);München;Frankfurt;303670.4924;0
LineString (9.48236487420935248 51.26461501244319408,13.41722376758875335 52.51852092247163029);Berlin;Kassel;304649.7402;0
LineString (8.80505309748011378 53.06946534523741832,12.38512963162038716 51.34023317736082248);Bremen;Leipzig;311264.4166;0
LineString (9.72426193732693989 52.36123164278924946,13.73975318507886989 51.052220951201015);Hannover;Dresden;313401.4652;0
LineString (8.80505309748011378 53.06946534523741832,13.41722376758875335 52.51852092247163029);Bremen;Berlin;317044.059;0
LineString (11.03856931359915805 50.98628168060842825,11.5707428524578475 48.15314625478950461);Erfurt;München;317443.4932;0
LineString (6.77311776729239146 51.23433285753594646,9.14370898584473579 48.77867032309986683);Stuttgart;Düsseldorf;321651.2018;0
LineString (7.48268248577064377 51.51619135116313686,9.14370898584473579 48.77867032309986683);Stuttgart;Dortmund;326803.5174;0
LineString (8.67604133048406823 50.11534901549023147,8.80505309748011378 53.06946534523741832);Bremen;Frankfurt;328795.0483;0
LineString (9.72426193732693989 52.36123164278924946,11.06275901991091715 49.46990855344201776);Hannover;Nuernberg;335124.434;0
LineString (8.5309030926135172 52.03008636485920846,11.06275901991091715 49.46990855344201776);Bielefeld;Nuernberg;336167.0804;0
LineString (8.5309030926135172 52.03008636485920846,13.41722376758875335 52.51852092247163029);Berlin;Bielefeld;337858.573;0
LineString (6.77311776729239146 51.23433285753594646,10.01453841306804371 53.5560114526945128);Düsseldorf;Hamburg;339675.0409;0
LineString (7.48268248577064377 51.51619135116313686,11.06275901991091715 49.46990855344201776);Dortmund;Nuernberg;341029.1178;0
LineString (7.48268248577064377 51.51619135116313686,12.38512963162038716 51.34023317736082248);Leipzig;Dortmund;341460.3017;0
LineString (11.5707428524578475 48.15314625478950461,13.73975318507886989 51.052220951201015);München;Dresden;358497.2182;0
LineString (11.5707428524578475 48.15314625478950461,12.38512963162038716 51.34023317736082248);Leipzig;München;359300.8978;0
LineString (6.77311776729239146 51.23433285753594646,11.06275901991091715 49.46990855344201776);Düsseldorf;Nuernberg;362852.0529;0
LineString (8.5309030926135172 52.03008636485920846,9.14370898584473579 48.77867032309986683);Stuttgart;Bielefeld;364287.7389;0
LineString (9.14370898584473579 48.77867032309986683,12.38512963162038716 51.34023317736082248);Stuttgart;Leipzig;367423.5082;0
LineString (8.67604133048406823 50.11534901549023147,13.73975318507886989 51.052220951201015);Frankfurt;Dresden;373379.6675;0
LineString (10.01453841306804371 53.5560114526945128,13.73975318507886989 51.052220951201015);Dresden;Hamburg;376978.2184;0
LineString (11.06275901991091715 49.46990855344201776,13.41722376758875335 52.51852092247163029);Berlin;Nuernberg;377239.4677;0
LineString (8.5309030926135172 52.03008636485920846,13.73975318507886989 51.052220951201015);Bielefeld;Dresden;377303.835;0
LineString (9.48236487420935248 51.26461501244319408,11.5707428524578475 48.15314625478950461);Kassel;München;377388.6572;0
LineString (6.77311776729239146 51.23433285753594646,12.38512963162038716 51.34023317736082248);Leipzig;Düsseldorf;391594.0816;0
LineString (8.67604133048406823 50.11534901549023147,10.01453841306804371 53.5560114526945128);Hamburg;Frankfurt;393763.7854;0
LineString (9.14370898584473579 48.77867032309986683,9.72426193732693989 52.36123164278924946);Stuttgart;Hannover;400636.9354;0
LineString (8.80505309748011378 53.06946534523741832,13.73975318507886989 51.052220951201015);Bremen;Dresden;405969.8304;0
LineString (9.14370898584473579 48.77867032309986683,13.73975318507886989 51.052220951201015);Stuttgart;Dresden;415694.612;0
LineString (7.48268248577064377 51.51619135116313686,13.41722376758875335 52.51852092247163029);Berlin;Dortmund;422265.1079;0
LineString (8.67604133048406823 50.11534901549023147,13.41722376758875335 52.51852092247163029);Frankfurt;Berlin;424988.9255;0
LineString (8.80505309748011378 53.06946534523741832,11.06275901991091715 49.46990855344201776);Bremen;Nuernberg;430289.3619;0
LineString (7.48268248577064377 51.51619135116313686,13.73975318507886989 51.052220951201015);Dortmund;Dresden;439446.2898;0
LineString (10.01453841306804371 53.5560114526945128,11.06275901991091715 49.46990855344201776);Hamburg;Nuernberg;460384.4858;0
LineString (7.48268248577064377 51.51619135116313686,11.5707428524578475 48.15314625478950461);München;Dortmund;475671.0928;0
LineString (8.80505309748011378 53.06946534523741832,9.14370898584473579 48.77867032309986683);Stuttgart;Bremen;477928.8709;0
LineString (6.77311776729239146 51.23433285753594646,13.41722376758875335 52.51852092247163029);Berlin;Düsseldorf;479145.0717;0
LineString (8.5309030926135172 52.03008636485920846,11.5707428524578475 48.15314625478950461);München;Bielefeld;482887.5047;0
LineString (9.72426193732693989 52.36123164278924946,11.5707428524578475 48.15314625478950461);Hannover;München;486206.6984;0
LineString (6.77311776729239146 51.23433285753594646,11.5707428524578475 48.15314625478950461);München;Düsseldorf;486900.3062;0
LineString (6.77311776729239146 51.23433285753594646,13.73975318507886989 51.052220951201015);Düsseldorf;Dresden;487771.5058;0
LineString (11.5707428524578475 48.15314625478950461,13.41722376758875335 52.51852092247163029);Berlin;München;503019.0503;0
LineString (9.14370898584473579 48.77867032309986683,13.41722376758875335 52.51852092247163029);Stuttgart;Berlin;514033.9954;0
LineString (9.14370898584473579 48.77867032309986683,10.01453841306804371 53.5560114526945128);Hamburg;Stuttgart;534953.1175;0
LineString (8.80505309748011378 53.06946534523741832,11.5707428524578475 48.15314625478950461);München;Bremen;580761.5704;0
LineString (10.01453841306804371 53.5560114526945128,11.5707428524578475 48.15314625478950461);Hamburg;München;610910.8048;0
